,ID,Name,Position,Age,Nationality,Club,Value
2,190871,Neymar Jr,LW,26,Brazil,Paris Saint-Germain,118.5
0,158023,L. Messi,RF,31,Argentina,FC Barcelona,110.5
4,192985,K. De Bruyne,RCM,27,Belgium,Manchester City,102
5,183277,E. Hazard,LF,27,Belgium,Chelsea,93
15,211110,P. Dybala,LF,24,Argentina,Juventus,89
16,202126,H. Kane,ST,24,England,Tottenham Hotspur,83.5
25,231747,K. Mbappé,RM,19,France,Paris Saint-Germain,81
7,176580,L. Suárez,RS,31,Uruguay,FC Barcelona,80
17,194765,A. Griezmann,CAM,27,France,Atlético Madrid,78
1,20801,Cristiano Ronaldo,ST,33,Portugal,Juventus,77
10,188545,R. Lewandowski,ST,29,Poland,FC Bayern München,77
11,182521,T. Kroos,LCM,28,Germany,Real Madrid,76.5
30,197781,Isco,LW,26,Spain,Real Madrid,73.5
31,190460,C. Eriksen,CAM,26,Denmark,Tottenham Hotspur,73.5
3,193080,De Gea,GK,27,Spain,Manchester United,72
26,209331,M. Salah,RM,26,Egypt,Liverpool,69.5
28,198710,J. Rodríguez,LAM,26,Colombia,FC Bayern München,69.5
32,189242,Coutinho,LW,26,Brazil,FC Barcelona,69.5
9,200389,J. Oblak,GK,25,Slovenia,Atlético Madrid,68
6,177003,L. Modri?,RCM,32,Croatia,Real Madrid,67
23,153079,S. Agüero,ST,30,Argentina,Manchester City,64.5
43,201399,M. Icardi,ST,25,Argentina,Inter,64.5
45,195864,P. Pogba,RDM,25,France,Manchester United,64
14,215914,N. Kanté,LDM,27,France,Chelsea,63
47,192505,R. Lukaku,ST,25,Belgium,Manchester United,62.5
29,198219,L. Insigne,LW,27,Italy,Napoli,62
55,222492,L. Sané,LW,22,Germany,Manchester City,61
13,168542,David Silva,LCM,32,Spain,Manchester City,60
21,179813,E. Cavani,LS,31,Uruguay,Paris Saint-Germain,60
36,173731,G. Bale,ST,28,Wales,Real Madrid,60
27,200145,Casemiro,CDM,26,Brazil,Real Madrid,59.5
56,218667,Bernardo Silva,RW,23,Portugal,Manchester City,59.5
33,188567,P. Aubameyang,LM,29,Gabon,Arsenal,59
18,192448,M. ter Stegen,GK,26,Germany,FC Barcelona,58
38,167664,G. Higuaín,LS,30,Argentina,Milan,57
42,205600,S. Umtiti,CB,24,France,FC Barcelona,57
60,202652,R. Sterling,RW,23,England,Manchester City,56.5
63,199556,M. Verratti,LCM,25,Italy,Paris Saint-Germain,55
79,220834,Marco Asensio,RW,22,Spain,Real Madrid,54
19,192119,T. Courtois,GK,26,Belgium,Real Madrid,53.5
61,201942,Roberto Firmino,CAM,26,Brazil,Liverpool,53
48,192387,C. Immobile,ST,28,Italy,Lazio,52
58,208722,S. Mané,LM,26,Senegal,Liverpool,52
20,189511,Sergio Busquets,CDM,29,Spain,FC Barcelona,51.5
8,155862,Sergio Ramos,RCB,32,Spain,Real Madrid,51
44,201024,K. Koulibaly,LCB,27,Senegal,Napoli,51
78,223848,S. Milinkovi?-Savi?,CM,23,Serbia,Lazio,50.5
83,208421,Saúl,RCM,23,Spain,Atlético Madrid,50.5
62,201535,R. Varane,RCB,25,France,Real Madrid,50
80,216594,N. Fekir,CAM,24,France,Olympique Lyonnais,50
52,171877,M. Hamšík,LCM,30,Slovakia,Napoli,46.5
53,168651,I. Rakiti?,RCM,30,Croatia,FC Barcelona,46.5
65,190483,Douglas Costa,LM,27,Brazil,Juventus,46.5
77,232363,M. Škriniar,LCB,23,Slovakia,Inter,46.5
34,178603,M. Hummels,LCB,29,Germany,FC Bayern München,46
67,189509,Thiago,CM,27,Spain,FC Bayern München,45.5
50,175943,D. Mertens,RF,31,Belgium,Napoli,45
66,189596,T. Müller,CAM,28,Germany,FC Bayern München,45
86,193747,Koke,LM,26,Spain,Atlético Madrid,45
87,193301,A. Lacazette,ST,27,France,Arsenal,45
59,203376,V. van Dijk,LCB,26,Netherlands,Liverpool,44.5
12,182493,D. Godín,CB,32,Uruguay,Atlético Madrid,44
72,180206,M. Pjani?,CDM,28,Bosnia Herzegovina,Juventus,44
68,188350,M. Reus,LM,29,Germany,Borussia Dortmund,43.5
74,176635,M. Özil,CAM,29,Germany,Arsenal,43.5
35,176676,Marcelo,LB,30,Brazil,Real Madrid,43
116,211300,A. Martial,LW,22,France,Manchester United,42.5
117,211117,D. Alli,LCM,22,England,Tottenham Hotspur,42.5
124,202556,M. Depay,ST,24,Netherlands,Olympique Lyonnais,42
57,210257,Ederson,GK,24,Brazil,Manchester City,41.5
156,230666,Gabriel Jesus,ST,21,Brazil,Manchester City,41
82,212622,J. Kimmich,RCM,23,Germany,FC Bayern München,40.5
84,204485,R. Mahrez,RW,27,Algeria,Manchester City,40.5
114,212198,Bruno Fernandes,LCM,23,Portugal,Sporting CP,40.5
155,231443,O. Dembélé,RW,21,France,FC Barcelona,40
71,184087,T. Alderweireld,RCB,29,Belgium,Tottenham Hotspur,39
94,184267,Y. Brahimi,LM,28,Algeria,FC Porto,39
122,204970,F. Thauvin,RM,25,France,Olympique de Marseille,39
100,179844,Diego Costa,LS,29,Spain,Atlético Madrid,38.5
22,167495,M. Neuer,GK,32,Germany,FC Bayern München,38
49,189332,Jordi Alba,LB,29,Spain,FC Barcelona,38
85,197445,D. Alaba,LB,26,Austria,FC Bayern München,38
121,205498,Jorginho,CM,26,Italy,Chelsea,38
88,192774,K. Manolas,LCB,27,Greece,Roma,37.5
93,184941,A. Sánchez,RW,29,Chile,Manchester United,37.5
97,181458,I. Periši?,LM,29,Croatia,Inter,37.5
90,189513,Parejo,RCM,29,Spain,Valencia CF,37
91,187961,Paulinho,LDM,29,Brazil,Guangzhou Evergrande Taobao FC,37
105,165153,K. Benzema,ST,30,France,Real Madrid,37
125,200104,H. Son,LM,25,Korea Republic,Tottenham Hotspur,37
64,191043,Alex Sandro,LB,27,Brazil,Juventus,36.5
81,212831,Alisson,GK,25,Brazil,Liverpool,36.5
115,212190,N. Süle,CB,22,Germany,FC Bayern München,36.5
166,212523,Anderson Talisca,CAM,24,Brazil,Guangzhou Evergrande Taobao FC,36.5
37,167948,H. Lloris,GK,31,France,Tottenham Hotspur,36
101,178518,R. Nainggolan,CAM,30,Belgium,Inter,35.5
119,207865,Marquinhos,LDM,24,Brazil,Paris Saint-Germain,35.5
163,213565,T. Lemar,LM,22,France,Atlético Madrid,35.5
69,184432,Azpilicueta,RB,28,Spain,Chelsea,35
176,207410,M. Kova?i?,LCM,24,Croatia,Chelsea,35
167,212188,T. Werner,RW,22,Germany,RB Leipzig,34.5
179,206113,S. Gnabry,ST,22,Germany,FC Bayern München,34.5
51,172871,J. Vertonghen,LCB,31,Belgium,Tottenham Hotspur,34
54,152729,Piqué,RCB,31,Spain,FC Barcelona,34
110,220793,D. Sánchez,RCB,22,Colombia,Tottenham Hotspur,34
111,216460,J. Giménez,RCB,23,Uruguay,Atlético Madrid,34
113,212218,A. Laporte,LCB,24,France,Manchester City,34
118,209499,Fabinho,CDM,24,Brazil,Liverpool,34
161,220971,N. Keïta,CM,23,Guinea,Liverpool,34
162,219683,C. Tolisso,CM,23,France,FC Bayern München,34
164,213345,K. Coman,LM,22,France,FC Bayern München,34
169,209658,L. Goretzka,CM,23,Germany,FC Bayern München,34
99,179846,S. Khedira,RCM,31,Germany,Juventus,33
168,210008,A. Rabiot,CM,23,France,Paris Saint-Germain,33
173,208418,Y. Carrasco,LM,24,Belgium,Dalian YiFang FC,33
183,202651,Suso,RW,24,Spain,Milan,33
171,208670,H. Ziyech,RAM,25,Morocco,Ajax,32.5
184,202166,J. Draxler,CM,24,Germany,Paris Saint-Germain,32.5
228,230658,Arthur,LCM,21,Brazil,FC Barcelona,32.5
92,186153,W. Szcz?sny,GK,28,Poland,Juventus,32
112,212462,Alex Telles,LB,25,Brazil,FC Porto,32
136,186942,I. Gündo?an,CM,27,Germany,Manchester City,32
174,208093,Gerard Moreno,LS,26,Spain,Villarreal CF,32
120,207566,William Carvalho,CDM,26,Portugal,Real Betis,31.5
123,204963,Carvajal,RB,26,Spain,Real Madrid,31.5
127,198176,S. de Vrij,CB,26,Netherlands,Inter,31.5
185,201995,Felipe Anderson,LM,25,Brazil,West Ham United,31.5
236,222737,Malcom,RW,21,Brazil,FC Barcelona,31.5
134,190584,Illarramendi,RDM,28,Spain,Real Sociedad,31
186,200949,Lucas Moura,RM,25,Brazil,Tottenham Hotspur,31
46,193041,K. Navas,GK,31,Costa Rica,Real Madrid,30.5
98,180930,E. Džeko,ST,32,Bosnia Herzegovina,Roma,30.5
140,180403,Willian,RW,29,Brazil,Chelsea,30.5
160,225850,P. Kimpembe,LCB,22,France,Paris Saint-Germain,30.5
170,208808,Q. Promes,RM,26,Netherlands,Sevilla FC,30.5
193,198329,Rodrigo,ST,27,Spain,Valencia CF,30.5
205,188152,Oscar,LCM,26,Brazil,Shanghai SIPG FC,30.5
244,212194,J. Brandt,LM,22,Germany,Bayer 04 Leverkusen,30.5
